MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM115Z,,,,,,QTY,1966,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
DE,,260,270.0,84.0,,,국내,614,,,,,,,,,,,,,,,,,,,,
BR,,260,280.0,85.0,,,,625,,,,,,,,,,,,,,,,,,,,
DG,,300,320.0,107.0,,,,727,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-22 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,820,870.0,276.0,0,0.0,,1966,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-16 00:00:00,,,
라벨발주 1.02%,,836.4,887.4,281.52,0,0.0,,2005.32,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",614,DE,,,,,,"55""",정요척,1.23,Y,755.22,,,Y,2026-06-27 00:00:00,756,Y,0.7799999999999727,,,,,르카이,,,중국선적(예),
,625,BR,,,,,,,정요척,1.23,Y,768.75,,,Y,,769,Y,0.25,,,,,,,,,
,727,DG,,,,,,,정요척,1.23,Y,894.21,,,Y,,895,Y,0.7899999999999636,,,,,,,,,
"(싸개패드)
다후다",614,DE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,625,BR,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"오비미까시배색
COMBINATION",614,DE,,,,,,"57""/58""",정요척,0.08,Y,49.120000000000005,,,Y,2026-07-04 00:00:00,59,Y,9.879999999999995,,,,,성 보,,,인천선적,
